Region,Month,Year,Humidity,Temperature,Population Density,Dengue_Cases
1,1,2008,21.9422001243,13.69,503.1821950257,2.953926
1,2,2008,19.5866998135,14.72,503.1888480122,2.183336
1,3,2008,23.1852082039,17.91,503.1937654356,0.97241
1,4,2008,24.8570540709,20.93,503.1959555482,9.357156
1,5,2008,7.8651336234,23.18,503.2170302239,7.320599
1,6,2008,7.1628340584,24.05,503.2335180595,4.513452
1,7,2008,2.3088875078,23.82,503.2436834919,6.82522
1,8,2008,4.9005593536,23.58,503.259055609,9.210377
1,9,2008,4.328775637,22.09,503.2797997014,13.301839
1,10,2008,0.8545680547,20.2,503.3097587982,1.724652
1,11,2008,9.6923555003,16.16,503.3136431496,1.32101
1,12,2008,22.9117464264,13.41,503.3166183973,1.0458
1,1,2009,25,13.08,503.3189738027,5.23598
1,2,2009,15.0683654444,14.2,503.3307665505,3.719351
1,3,2009,24.2417650715,18.44,503.3391434671,2.473549
1,4,2009,25,21.3,503.3447145234,3.051313
1,5,2009,2.7252952144,23.63,503.35158685,4.658217
1,6,2009,8.3809819764,23.97,503.3620783298,6.644278
1,7,2009,10.7737725295,23.68,503.3770429198,1.263857
1,8,2009,21.8427594779,23.34,503.3798894446,1.516629
1,9,2009,16.4045991299,22.11,503.3833052757,0.902755
1,10,2009,12.7439403356,19.63,503.3853385077,4.333225
1,11,2009,2.688004972,16.35,503.3950980234,3.159643
1,12,2009,15.0248601616,13.53,503.4022143365,2.166613
1,1,2010,24.2106898695,13.2,503.4070940955,1.97192
1,2,2010,16.0503418272,14.55,503.4115353568,3.197708
1,3,2010,25,17.12,503.4187374018,5.276218
1,4,2010,24.937849596,20.67,503.4306207757,0.657307
1,5,2010,10.3884400249,22.95,503.4321011969,0.728367
1,6,2010,4.8259788689,23.85,503.4337416631,0.604011
1,7,2010,20.2703542573,23.53,503.4351020482,4.796562
1,8,2010,4.6954630205,23.29,503.4459051158,3.286533
1,9,2010,3.9310130516,22.84,503.4533072171,2.700287
1,10,2010,13.7383467993,20.12,503.4593889446,1.954155
1,11,2010,7.3244251088,15.84,503.4637901946,3.712894
1,12,2010,11.016159105,12.93,503.4721525685,4.672207
1,1,2011,24.4157862026,13.04,503.4826755572,1.817482
1,2,2011,24.0863890615,14.07,503.4867689852,2.149523
1,3,2011,25,17.7,503.4916102532,0.699032
1,4,2011,12.4207582349,21.42,503.4931846496,5.40002
1,5,2011,6.0752019888,23.02,503.5053468568,5.854391
1,6,2011,5.7706650093,23.64,503.5185324221,3.914578
1,7,2011,6.1995027968,23.35,503.5273490392,3.582538
1,8,2011,15.0497203232,23.03,503.5354178185,5.819439
1,9,2011,25.9881914232,21.65,503.5485246631,3.634965
1,10,2011,11.1901802362,19.5,503.5567115212,3.827199
1,11,2011,5.8141702921,15.77,503.5653313388,5.225262
1,12,2011,22.5077688005,14.06,503.5770999469,1.800007
1,1,2012,24.9192044748,12.83,503.5811540167,17.086037
1,2,2012,25,12.74,503.619636082,15.006147
1,3,2012,24.7949036669,16.88,503.6534337104,19.423764
1,4,2012,23.328154133,19.62,503.6971809266,5.792751
1,5,2012,7.6289620883,23.32,503.7102276631,16.879767
1,6,2012,14.0739589807,24.13,503.7482451563,7.013182
1,7,2012,2.0851460534,23.93,503.7640406113,9.505612
1,8,2012,4.4592914854,24.31,503.7854496473,12.616852
1,9,2012,6.5413300186,22.47,503.8138659807,12.101177
1,10,2012,8.797389683,21.65,503.8411208838,54.695944
1,11,2012,23.421379739,16.63,503.9643099469,43.437037
1,12,2012,3.5767557489,13.59,504.0621411113,61.932585
1,1,2013,22.7252952144,12.73,504.2016289153,16.873577
1,2,2013,25,14.59,504.2396324671,36.012743
1,3,2013,25,17.12,504.3207422487,21.184961
1,4,2013,25,21.12,504.3684561248,15.284282
1,5,2013,9.561839652,24.01,504.4028801834,9.33288
1,6,2013,20.5748912368,23.85,504.4239001834,27.592863
1,7,2013,9.6053449347,23.92,504.4860462712,83.505606
1,8,2013,5.0807955252,23.35,504.6741219604,35.539336
1,9,2013,14.7886886265,22.54,504.7541655099,76.658112
1,10,2013,8.3561218148,19.96,504.9268189153,23.771792
1,11,2013,16.9888129273,16.3,504.9803589874,71.856413
1,12,2013,20.077688005,14.39,505.1421977554,29.587935
1,1,2014,18.1199502797,14.07,505.2088372487,8.898958
1,2,2014,25,14.85,505.2288799469,5.173039
1,3,2014,17.9583592293,17.05,505.2405309356,28.792703
1,4,2014,23.6575512741,22.17,505.3053793658,33.16733
1,5,2014,13.3032939714,22.39,505.3800805595,20.209783
1,6,2014,6.031696706,23.4,505.4255980888,47.605266
1,7,2014,2.5885643257,23.51,505.5328171563,18.56306
1,8,2014,1.532007458,23.19,505.57462585,59.348563
1,9,2014,12.5450590429,21.84,505.7082937847,24.268373
1,10,2014,8.5674331883,19.55,505.7629522825,5.22294
1,11,2014,15.3293971411,16.37,505.7747156608,4.025323
1,12,2014,9.7358607831,12.5,505.7837817036,10.745284
1,1,2015,23.7010565569,13.14,505.8079827937,13.865062
1,2,2015,19.7110006215,14.21,505.8392104108,13.53767
1,3,2015,25,17.04,505.8697006586,31.429657
1,4,2015,23.1976382846,21.69,505.9404881743,13.455822
1,5,2015,9.9285270354,23.1,505.9707940798,40.547531
1,6,2015,18.1075201989,23.87,506.0621173478,13.324865
1,7,2015,4.9192044748,23.71,506.092128305,3.765011
1,8,2015,18.4990677439,23.29,506.1006080595,1.735179
1,9,2015,1.6500932256,21.91,506.1045161203,4.878145
1,10,2015,14.390926041,19.17,506.1155029334,7.660979
1,11,2015,12.0665009323,15.24,506.1327573906,7.972001
1,12,2015,12.7625854568,12.59,506.1507123478,18.415814
1,1,2016,23.3467992542,12.91,506.1921894063,13.504792
1,2,2016,23.5891858297,13.75,506.2226056045,27.912051
1,3,2016,12.1783716594,17.59,506.2854705843,9.073028
1,4,2016,19.4499689248,20.75,506.305905332,2.481787
1,5,2016,11.047234307,22.88,506.3114949424,1.772705
1,6,2016,4.3784959602,23.62,506.3154875212,3.738797
1,7,2016,8.5736482287,23.33,506.3239082352,5.575964
1,8,2016,4.0304536979,23.07,506.3364667126,4.641265
1,9,2016,13.9434431324,21.86,506.3469200122,8.235022
1,10,2016,12.0602858919,19.49,506.365467359,8.073867
1,11,2016,8.3871970168,16.32,506.3836517442,15.857655
1,12,2016,15.4599129894,14.03,506.4193671834,3.593757
2,1,2008,24.3536357986,18.6,477.0472027972,3.232928
2,2,2008,24.3163455562,20.84,477.0544841666,2.297784
2,3,2008,13.1168427595,22.93,477.0596593558,5.423838
2,4,2008,16.0130515848,26.21,477.0718752071,13.733265
2,5,2008,28.5177128651,28.3,477.1028059841,13.572955
2,6,2008,75.0559353636,28.53,477.1333757026,16.164641
2,7,2008,55.9819763828,27.49,477.1697825517,9.324727
2,8,2008,18.0453697949,26.68,477.1907841891,11.408763
2,9,2008,7.0571783717,25.81,477.2164796013,18.115085
2,10,2008,17.218769422,24.44,477.2572793422,2.271065
2,11,2008,24.515226849,21,477.2623943535,1.629823
2,12,2008,24.1485394655,18.44,477.266065126,2.351221
2,1,2009,22.8558110628,18.2,477.2713606688,6.231395
2,2,2009,20.7862026103,19.98,477.2853953422,7.493449
2,3,2009,23.2287134866,22.15,477.3022724796,10.753757
2,4,2009,9.0335612181,26.61,477.3264926531,4.075385
2,5,2009,1.140459913,27.95,477.3356714481,7.493449
2,6,2009,35.5096333126,27.91,477.3525485855,10.701171
2,7,2009,37.0882535736,27,477.376650322,1.130591
2,8,2009,7.1814791796,26.8,477.3791966981,1.919375
2,9,2009,14.0739589807,26.02,477.3835196148,1.998253
2,10,2009,33.937228092,24.35,477.3880201846,6.073638
2,11,2009,22.4704785581,20.92,477.4016995495,5.758124
2,12,2009,24.4655065258,18.7,477.4146682972,9.570581
2,1,2010,24.1298943443,18.96,477.4362236598,2.483559
2,2,2010,12.7998756992,19.66,477.4418172612,6.053674
2,3,2010,12.6382846489,22.63,477.4554516621,5.74323
2,4,2010,2.3337476694,25.73,477.4683868648,1.397002
2,5,2010,14.2106898695,28.24,477.4715332657,1.526354
2,6,2010,27.2436295836,28.46,477.4749709999,1.552224
2,7,2010,8.2753262896,27.29,477.4784669999,7.217843
2,8,2010,30.7178371659,26.49,477.4947234031,4.294487
2,9,2010,1.5879428216,26.38,477.5043956711,12.288442
2,10,2010,18.5798632691,23.97,477.5320723422,2.017891
2,11,2010,25,21.87,477.5366171418,5.458655
2,12,2010,25,18.73,477.5489114098,3.88056
2,1,2011,21.8489745183,17.93,477.5576514098,0.814374
2,2,2011,21.3082660037,19,477.5594855855,3.74103
2,3,2011,14.4095711622,22.69,477.5679113287,1.88324
2,4,2011,6.3859540087,26.23,477.5721528603,12.368304
2,5,2011,3.2162834058,29.17,477.6000094008,5.344329
2,6,2011,43.9434431324,28.58,477.6120461778,20.91923
2,7,2011,32.0975761342,27.77,477.6591615607,2.112282
2,8,2011,5.3480422623,27.32,477.6639189526,11.935668
2,9,2011,12.0975761342,26.82,477.6908010877,2.49402
2,10,2011,5.0497203232,25.46,477.6964182499,2.061384
2,11,2011,23.1168427595,22.18,477.7010610067,7.507509
2,12,2011,23.8191423244,18.31,477.7179698107,3.232046
2,1,2012,24.4157862026,18.52,477.7252491936,24.506129
2,2,2012,15.0062150404,19.68,477.7804431778,16.145509
2,3,2012,22.8868862648,24.24,477.8168069368,57.648228
2,4,2012,10.0279676818,26.84,477.9466452882,4.380564
2,5,2012,2.6817899316,28.16,477.9565114233,30.363569
2,6,2012,0.3946550653,27.81,478.02489784,3.804833
2,7,2012,54.4592914854,27.08,478.0334672837,3.929992
2,8,2012,9.3816034804,26.77,478.042318617,12.11539
