Sl. No.,Affected States/ UTs,2015(Prov.) - Cases,2015(Prov.) - Deaths,2016* - Cases,2016* - Deaths
1,A & N Island,153,0,90,0
2,Andhra Pradesh,3159,2,2832,0
3,Arunachal Pradesh,1933,1,13,0
4,Assam,1076,1,3993,4
5,Bihar,1771,0,1607,0
6,Chandigarh,966,1,836,0
7,Chhattisgarh,384,1,324,2
8,Dadra & Nagar Haveli,1154,0,2821,0
9,Daman & Diu,165,0,64,0
10,Delhi,15867,60,3913,4
11,Goa,293,0,113,0
12,Gujarat,5590,9,5371,13
13,Haryana,9921,13,2284,0
14,Himachal Pradesh,19,1,251,0
15,Jammu & Kashmir,153,0,77,0
16,Jharkhand,102,0,388,1
17,Karnataka,5077,9,5375,8
18,Kerala,4075,25,6620,12
19,Madhya Pradesh,2108,8,2321,5
20,Maharashtra,4936,23,5653,22
21,Manipur,52,0,35,0
22,Meghalaya,13,0,91,0
23,Mizoram,43,0,29,0
24,Nagaland,21,1,0,0
25,Odisha,2450,2,8142,11
26,Puducherry,771,0,407,2
27,Punjab,14128,18,9314,8
28,Rajasthan,4043,7,3051,16
29,Sikkim,21,0,8,0
30,Tamil Nadu,4535,12,2044,4
31,Telangana,1831,2,2269,3
32,Total,99913,220,90277,179
33,Tripura,40,0,49,0
34,Uttar Pradesh,2892,9,6698,33
35,Uttarakhand,1655,1,2125,3
Total,West Bengal,8516,14,11069,28
