Region.I,Month,Year,Temperature,Humidity,Population Density,Dengue_Cases
Region.I,Jan,2008,13.58,21.9422001243,503.1821950257,2.953926
Region.I,Feb,2008,14.72,19.5866998135,503.1888480122,2.183336
Region.I,Mar,2008,17.91,23.1852082039,503.1937654356,0.97241
Region.I,Apr,2008,20.93,24.8570540709,503.1959555482,9.357156
Region.I,May,2008,23.18,7.8651336234,503.2170302239,7.320599
Region.I,Jun,2008,24.05,7.1628340584,503.2335180595,4.513452
Region.I,Jul,2008,23.82,2.3088875078,503.2436834919,6.82522
Region.I,Aug,2008,23.58,4.9005593536,503.259055609,9.210377
Region.I,Sep,2008,22.09,4.328775637,503.2797997014,13.301839
Region.I,Oct,2008,20.2,0.8545680547,503.3097587982,1.724652
Region.I,Nov,2008,16.16,9.6923555003,503.3136431496,1.32101
Region.I,Dec,2008,13.41,22.9117464264,503.3166183973,1.0458
Region.I,Jan,2009,13.08,25,503.3189738027,5.23598
Region.I,Feb,2009,14.2,15.0683654444,503.3307665505,3.719351
Region.I,Mar,2009,18.44,24.2417650715,503.3391434671,2.473549
Region.I,Apr,2009,21.3,25,503.3447145234,3.051313
Region.I,May,2009,23.63,2.7252952144,503.35158685,4.658217
Region.I,Jun,2009,23.97,8.3809819764,503.3620783298,6.644278
Region.I,Jul,2009,23.68,10.7737725295,503.3770429198,1.263857
Region.I,Aug,2009,23.34,21.8427594779,503.3798894446,1.516629
Region.I,Sep,2009,22.11,16.4045991299,503.3833052757,0.902755
Region.I,Oct,2009,19.63,12.7439403356,503.3853385077,4.333225
Region.I,Nov,2009,16.35,2.688004972,503.3950980234,3.159643
Region.I,Dec,2009,13.53,15.0248601616,503.4022143365,2.166613
Region.I,Jan,2010,13.2,24.2106898695,503.4070940955,1.97192
Region.I,Feb,2010,14.55,16.0503418272,503.4115353568,3.197708
Region.I,Mar,2010,17.12,25,503.4187374018,5.276218
Region.I,Apr,2010,20.67,24.937849596,503.4306207757,0.657307
Region.I,May,2010,22.95,10.3884400249,503.4321011969,0.728367
Region.I,Jun,2010,23.85,4.8259788689,503.4337416631,0.604011
Region.I,Jul,2010,23.53,20.2703542573,503.4351020482,4.796562
Region.I,Aug,2010,23.29,4.6954630205,503.4459051158,3.286533
Region.I,Sep,2010,22.84,3.9310130516,503.4533072171,2.700287
Region.I,Oct,2010,20.12,13.7383467993,503.4593889446,1.954155
Region.I,Nov,2010,15.84,7.3244251088,503.4637901946,3.712894
Region.I,Dec,2010,12.93,11.016159105,503.4721525685,4.672207
Region.I,Jan,2011,13.04,24.4157862026,503.4826755572,1.817482
Region.I,Feb,2011,14.07,24.0863890615,503.4867689852,2.149523
Region.I,Mar,2011,17.7,25,503.4916102532,0.699032
Region.I,Apr,2011,21.42,12.4207582349,503.4931846496,5.40002
Region.I,May,2011,23.02,6.0752019888,503.5053468568,5.854391
Region.I,Jun,2011,23.64,5.7706650093,503.5185324221,3.914578
Region.I,Jul,2011,23.35,6.1995027968,503.5273490392,3.582538
Region.I,Aug,2011,23.03,15.0497203232,503.5354178185,5.819439
Region.I,Sep,2011,21.65,25.9881914232,503.5485246631,3.634965
Region.I,Oct,2011,19.5,11.1901802362,503.5567115212,3.827199
Region.I,Nov,2011,15.77,5.8141702921,503.5653313388,5.225262
Region.I,Dec,2011,14.06,22.5077688005,503.5770999469,1.800007
Region.I,Jan,2012,12.83,24.9192044748,503.5811540167,17.086037
Region.I,Feb,2012,12.74,25,503.619636082,15.006147
Region.I,Mar,2012,16.88,24.7949036669,503.6534337104,19.423764
Region.I,Apr,2012,19.62,23.328154133,503.6971809266,5.792751
Region.I,May,2012,23.32,7.6289620883,503.7102276631,16.879767
Region.I,Jun,2012,24.13,14.0739589807,503.7482451563,7.013182
Region.I,Jul,2012,23.93,2.0851460534,503.7640406113,9.505612
Region.I,Aug,2012,24.31,4.4592914854,503.7854496473,12.616852
Region.I,Sep,2012,22.47,6.5413300186,503.8138659807,12.101177
Region.I,Oct,2012,21.65,8.797389683,503.8411208838,54.695944
Region.I,Nov,2012,16.63,23.421379739,503.9643099469,43.437037
Region.I,Dec,2012,13.59,3.5767557489,504.0621411113,61.932585
Region.I,Jan,2013,12.73,22.7252952144,504.2016289153,16.873577
Region.I,Feb,2013,14.59,25,504.2396324671,36.012743
Region.I,Mar,2013,17.12,25,504.3207422487,21.184961
Region.I,Apr,2013,21.12,25,504.3684561248,15.284282
Region.I,May,2013,24.01,9.561839652,504.4028801834,9.33288
Region.I,Jun,2013,23.85,20.5748912368,504.4239001834,27.592863
Region.I,Jul,2013,23.92,9.6053449347,504.4860462712,83.505606
